Name,Description,Latitude,Longitude,InfoURL,ImageURL
UCSB,A great university located along the California coast!,34.416929 ,-119.845991 ,"https://en.wikipedia.org/wiki/University_of_California, _Santa_Barbara",https://web.physics.ucsb.edu/~Women/images/ucsb-big.jpg
Myeong Dong,"A great shopping street with all kinds of stuffs that it needs, which includes clothing stores, Cosmetics stores, restaurants and so on. ",37.562662 ,126.981993 ,https://en.wikipedia.org/wiki/Myeong-dong,https://media-cdn.tripadvisor.com/media/photo-s/12/f8/f7/ca/myeongdong-shopping-street.jpg
Brooklyn Bridge,One of the most magnificent bridges that I have ever seen! It is the first major steel-wire suspension bridge in the world.,40.706001 ,-73.997002 ,https://en.wikipedia.org/wiki/Brooklyn_Bridge,https://www.nuhotelbrooklyn.com/wp-content/uploads/2016/09/iStock_50554732_SMALL.jpg
The Palace Museum,"It is a museum with a long history, and most of art pieces inside were collected  from Ming and Qing Dynasties.",39.915588,116.39698,https://en.wikipedia.org/wiki/Palace_Museum,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Forbidden_City_Beijing_Shenwumen_Gate.JPG/1200px-Forbidden_City_Beijing_Shenwumen_Gate.JPG
Cancún,"A significant tourist city in Mexico, located on the Caribbean Sea. This city has typical tropical climate. ",21.17429,-86.84656,https://en.wikipedia.org/wiki/Canc%C3%BAn,https://mk0mexiconewsdam2uje.kinstacdn.com/wp-content/uploads/2020/03/cancun.jpg
The Great Wall,"It is a wall made of stone bricks, the purpose was to protect Chinese states.",40.431908,116.570374,https://en.wikipedia.org/wiki/Great_Wall_of_China,https://images.dailyhive.com/20200326155047/shutterstock_1107540971.jpg
,,,,,
,,,,,
,,,,,
,,,,,